,name,count,correct_count,correct_mean,correct_std,correct_std_error,correct_instruction_following,correct_correct_logprobs_count,correct_correct_logprobs_mean,correct_correct_logprobs_std,correct_correct_logprobs_std_error,correct_correct_logprobs_instruction_following,correct_incorrect_logprobs_count,correct_incorrect_logprobs_mean,correct_incorrect_logprobs_std,correct_incorrect_logprobs_std_error,correct_incorrect_logprobs_instruction_following,n_comparisons,best_count,best_mean,best_std,best_std_error,best_instruction_following,best_correct_logprobs_count,best_correct_logprobs_mean,best_correct_logprobs_std,best_correct_logprobs_std_error,best_correct_logprobs_instruction_following,best_incorrect_logprobs_count,best_incorrect_logprobs_mean,best_incorrect_logprobs_std,best_incorrect_logprobs_std_error,best_incorrect_logprobs_instruction_following,verdict_model_name
0,all,176,176.0,0.75,0.4330127018922193,0.032639560491693344,1.0,0.0,,,,0.0,0.0,,,,0.0,1,,,,,,,,,,,,,,,,gpt-3.5-turbo
1,all,176,,,,,,,,,,,,,,,,1,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,gpt-3.5-turbo
2,-1_all,160,160.0,0.8125,0.3903123748998999,0.030856902590830466,1.0,0.0,,,,0.0,0.0,,,,0.0,1,,,,,,,,,,,,,,,,gpt-3.5-turbo
3,-1_c_same_model_family,0,0.0,,,,,0.0,,,,,0.0,,,,,1,,,,,,,,,,,,,,,,gpt-3.5-turbo
4,-1_c_not_same_model_family,160,160.0,0.8125,0.3903123748998999,0.030856902590830466,1.0,0.0,,,,0.0,0.0,,,,0.0,1,,,,,,,,,,,,,,,,gpt-3.5-turbo
5,-1_c_name_drop_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,,,,,,,,,,,,,,,,gpt-3.5-turbo
6,-1_c_not_name_drop_flag,160,160.0,0.8125,0.3903123748998999,0.030856902590830466,1.0,0.0,,,,0.0,0.0,,,,0.0,1,,,,,,,,,,,,,,,,gpt-3.5-turbo
7,-1_c_name_drop_any_specific_flag,17,17.0,0.8823529411764706,0.32218973970892123,0.07814248990059663,1.0,0.0,,,,0.0,0.0,,,,0.0,1,,,,,,,,,,,,,,,,gpt-3.5-turbo
8,-1_c_not_name_drop_any_specific_flag,143,143.0,0.8041958041958042,0.39681848836674427,0.033183629031978155,1.0,0.0,,,,0.0,0.0,,,,0.0,1,,,,,,,,,,,,,,,,gpt-3.5-turbo
9,-1_c_same_model_family_name_drop_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,,,,,,,,,,,,,,,,gpt-3.5-turbo
10,-1_c_same_model_family_not_name_drop_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,,,,,,,,,,,,,,,,gpt-3.5-turbo
11,-1_c_not_same_model_family_name_drop_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,,,,,,,,,,,,,,,,gpt-3.5-turbo
12,-1_c_not_same_model_family_not_name_drop_flag,160,160.0,0.8125,0.3903123748998999,0.030856902590830466,1.0,0.0,,,,0.0,0.0,,,,0.0,1,,,,,,,,,,,,,,,,gpt-3.5-turbo
13,-1_c_same_model_family_name_drop_any_specific_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,,,,,,,,,,,,,,,,gpt-3.5-turbo
14,-1_c_same_model_family_not_name_drop_any_specific_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,,,,,,,,,,,,,,,,gpt-3.5-turbo
15,-1_c_not_same_model_family_name_drop_any_specific_flag,17,17.0,0.8823529411764706,0.32218973970892123,0.07814248990059663,1.0,0.0,,,,0.0,0.0,,,,0.0,1,,,,,,,,,,,,,,,,gpt-3.5-turbo
16,-1_c_not_same_model_family_not_name_drop_any_specific_flag,143,143.0,0.8041958041958042,0.39681848836674427,0.033183629031978155,1.0,0.0,,,,0.0,0.0,,,,0.0,1,,,,,,,,,,,,,,,,gpt-3.5-turbo
